"EMD-","Status","Entry Title","Entry Authors","Deposit Date","Resolution (Å)","Associated PDB","Citation Title"
"0039","REL","Structure of paused transcription complex Pol II-DSIF-NELF","Vos SM, Farnung L, Urlaub H, Cramer P","2018-05-27","3.4","","Structure of paused transcription complex Pol II-DSIF-NELF."
"0040","REL","Structure of paused transcription complex Pol II-DSIF-NELF (Map 3)","Vos SM, Farnung L, Urlaub H, Cramer P","2018-05-27","3.4","","Structure of paused transcription complex Pol II-DSIF-NELF."
"0041","REL","Structure of paused transcription complex Pol II-DSIF-NELF  (Map 4)","Vos SM, Farnung L, Urlaub H, Cramer P","2018-05-27","3.9","","Structure of paused transcription complex Pol II-DSIF-NELF."
"0042","REL","Structure of paused transcription complex Pol II-DSIF-NELF  (Map 5)","Vos SM, Farnung L, Urlaub H, Cramer P","2018-05-27","3.3","","Structure of paused transcription complex Pol II-DSIF-NELF."
"0043","REL","cryoEM structure of the lambdaN Transcription Antitermination Complex at 3.7 A resolution.","Krupp F, Spahn C","2018-05-30","3.7","6gov","Structural Basis for the Action of an All-Purpose Transcription Anti-termination Factor."
"0048","REL","Cryo-EM reconstruction of yeast 80S ribosome in complex with mRNA  tRNA and eEF2 (GDP+AlF4/sordarin)","Pellegrino S, Yusupov M, Yusupova G, Hashem Y","2018-06-07","3.9","6gqb","Structural Insights into the Role of Diphthamide on Elongation Factor 2 in mRNA Reading-Frame Maintenance."
"0049","REL","Cryo-EM recosntruction of yeast 80S ribosome in complex with mRNA  tRNA and eEF2 (GMPPCP)","Pellegrino S, Yusupov M, Yusupova G, Hashem Y","2018-06-08","4","6gqv","Structural Insights into the Role of Diphthamide on Elongation Factor 2 in mRNA Reading-Frame Maintenance."
"0054","REL","Feline Calicivirus Strain F9","Conley MJ, Bhella D","2018-06-14","3","6gsh","Calicivirus VP2 forms a portal-like assembly following receptor engagement."
"0056","REL","Feline Calicivirus Strain F9 bound to a soluble ectodomain fragment of feline junctional adhesion molecule A - leading to assembly of a portal structure at a unique three-fold axis.","Conley MJ, Bhella D","2018-06-14","3.8","6gsi","Calicivirus VP2 forms a portal-like assembly following receptor engagement."
"0061","REL","Transition state structure of Cpf1(Cas12a) I1 conformation","Mesa P, Montoya G","2018-06-18","3.9","6gtc","Conformational Activation Promotes CRISPR-Cas12a Catalysis and Resetting of the Endonuclease Activity."
"0064","REL","Transition state I5 crispr-cpf1","Montoya G, Mesa P, Stella S","2018-06-18","3.6","6gtf","Conformational Activation Promotes CRISPR-Cas12a Catalysis and Resetting of the Endonuclease Activity."
"0065","REL","Transition state structure of Cpf1(Cas12a) I4 conformation","Mesa P, Montoya G, Stella S","2018-06-18","3.3","6gtg","Conformational Activation Promotes CRISPR-Cas12a Catalysis and Resetting of the Endonuclease Activity."
"0069","REL","High-resolution Cryo-EM of Fab-labeled human parechovirus 3","Domanska A, Flatt JW, Jukonen JJJ, Geraets JA, Butcher SJ","2018-06-20","2.8","6gv4","A 2.8-Angstrom-Resolution Cryo-Electron Microscopy Structure of Human Parechovirus 3 in Complex with Fab from a Neutralizing Antibody."
"0071","REL","GAPDH-CP12-PRK complex","McFarlane CR, Shah N, Bubeck D, Murray JW","2018-06-20","3.9","6gve","Structural basis of light-induced redox regulation in the Calvin-Benson cycle in cyanobacteria."
"0076","REL","Cryo-EM structure of an E. coli 70S ribosome in complex with RF3-GDPCP  RF1(GAQ) and Pint-tRNA (State I)","Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN","2018-06-25","3.8","6gwt","Visualization of translation termination intermediates trapped by the Apidaecin 137 peptide during RF3-mediated recycling of RF1."
"0080","REL","Cryo-EM structure of an E. coli 70S ribosome in complex with RF3-GDPCP  RF1(GAQ) and Pint-tRNA (State II)","Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN","2018-06-27","3.8","6gxm","Visualization of translation termination intermediates trapped by the Apidaecin 137 peptide during RF3-mediated recycling of RF1."
"0081","REL","Cryo-EM structure of an E. coli 70S ribosome in complex with RF3-GDPCP  RF1(GAQ) and Pint-tRNA (State III)","Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN","2018-06-27","3.9","6gxn","Visualization of translation termination intermediates trapped by the Apidaecin 137 peptide during RF3-mediated recycling of RF1."
"0082","REL","Cryo-EM structure of a rotated E. coli 70S ribosome in complex with RF3-GDPCP  RF1(GAQ) and P/E-tRNA (State IV)","Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN","2018-06-27","3.9","6gxo","Visualization of translation termination intermediates trapped by the Apidaecin 137 peptide during RF3-mediated recycling of RF1."
"0088","REL","XaxAB pore complex from Xenorhabdus nematophila","Schubert E, Vetter IR, Prumbaum D, Penczek PA, Raunser S","2018-06-28","4","6gy6","Membrane insertion of alpha-xenorhabdolysin in near-atomic detail."
"0089","REL","Cryo-EM structure of the bacteria-killing type IV secretion system core complex from Xanthomonas citri","Costa TRD, Sgro GG, Farah CS, Waksman G","2018-06-28","3.3","6gyb","Cryo-EM structure of the bacteria-killing type IV secretion system core complex from Xanthomonas citri."
"0093","REL","Structure of human HCN4 hyperpolarization-activated cyclic nucleotide-gated ion channel","Shintre CA, Pike ACW, Tessitore A, Young M, Bushell SR, Strain-Damerell C, Mukhopadhyay S, Burgess-Brown NA, Huiskonen JT, Arrowsmith CH, Edwards AM, Bountra C, Carpenter EP, Structural Genomics Consortium (SGC)","2018-06-30","3.4","6gyn","Structure of human HCN4 hyperpolarization-activated cyclic nucleotide-gated ion channel"
"0094","REL","Structure of human HCN4 hyperpolarization-activated cyclic nucleotide-gated ion channel in complex with cAMP","Shintre CA, Pike ACW, Tessitore A, Young M, Bushell SR, Strain-Damerell C, Mukhopadhyay S, Burgess-Brown NA, Huiskonen JT, Arrowsmith CH, Edwards AM, Bountra C, Carpenter EP, Structural Genomics Consortium (SGC)","2018-06-30","3.4","6gyo","Structure of human HCN4 hyperpolarization-activated cyclic nucleotide-gated ion channel"
"0095","REL","Cryo-EM structure of the CBF3-core-Ndc10-DBD complex of the budding yeast kinetochore","Yan K, Zhang Z, Yang J, McLaughlin SH, Barford D","2018-07-01","3.6","6gyp","Architecture of the CBF3-centromere complex of the budding yeast kinetochore."
"0097","REL","Cryo-EM structure of the CBF3-msk complex of the budding yeast kinetochore","Yan K, Zhang Z, Yang J, McLaughlin SH, Barford D","2018-07-02","3","6gyu","Architecture of the CBF3-centromere complex of the budding yeast kinetochore."
"0098","REL","tRNA translocation by the eukaryotic 80S ribosome and the impact of GTP hydrolysis  Translocation-intermediate-POST-1 (TI-POST-1)","Flis J, Holm M, Rundlet EJ, Loerke J, Hilal T, Dabrowski M, Buerger J, Mielke T, Blanchard SC, Spahn CMT, Budkevich TV","2018-07-03","3.6","6gz3","tRNA Translocation by the Eukaryotic 80S Ribosome and the Impact of GTP Hydrolysis."
"0099","REL","tRNA translocation by the eukaryotic 80S ribosome and the impact of GTP hydrolysis  Translocation-intermediate-POST-2 (TI-POST-2)","Flis J, Holm M, Rundlet EJ, Loerke J, Hilal T, Dabrowski M, Buerger J, Mielke T, Blanchard SC, Spahn CMT, Budkevich TV","2018-07-03","3.6","6gz4","tRNA Translocation by the Eukaryotic 80S Ribosome and the Impact of GTP Hydrolysis."
"0100","REL","tRNA translocation by the eukaryotic 80S ribosome and the impact of GTP hydrolysis  Translocation-intermediate-POST-3 (TI-POST-3)","Flis J, Holm M, Rundlet EJ, Loerke J, Hilal T, Dabrowski M, Buerger J, Mielke T, Blanchard SC, Spahn CMT, Budkevich TV","2018-07-03","3.5","6gz5","tRNA Translocation by the Eukaryotic 80S Ribosome and the Impact of GTP Hydrolysis."
"0101","REL","T. thermophilus hibernating 70S ribosome","Flygaard RK, Jenner LB","2018-07-04","3.3","6gzq","Cryo-EM structure of the hibernating Thermus thermophilus 100S ribosome reveals a protein-mediated dimerization mechanism."
"0103","REL","Identification of a druggable VP1-VP3 interprotomer pocket in the capsid of enteroviruses","Geraets JA, Flatt JW, Domanska A, Butcher SJ","2018-07-05","4","6gzv","A novel druggable interprotomer pocket in the capsid of rhino- and enteroviruses."
"0108","REL","Cryo-electron microscopic structure of the dihydrolipoamide succinyltransferase (E2) component of the human alpha-ketoglutarate (2-oxoglutarate) dehydrogenase complex [residues 218-453]","Nagy B, Zambo Z, Hubert A, Polak M, Nemeria NS, Novacek J, Jordan F, Adam-Vizi V, Ambrus A","2018-07-06","2.9","6h05","Cryo-electron microscopic structure of the dihydrolipoamide succinyltransferase (E2) component of the human alpha-ketoglutarate (2-oxoglutarate) dehydrogenase complex [residues 218-453]"
"0128","REL","Human nuclear RNA exosome EXO-10-MPP6 complex","Gerlach P, Schuller JM, Falk S, Basquin J, Conti E","2018-07-13","3.8","6h25","Distinct and evolutionary conserved structural features of the human nuclear exosome complex."
"0129","REL","Structure of the Macrobrachium rosenbergii Nodavirus","Ho KH, Gabrielsen M, Beh PL, Kueh CL, Thong QX, Streetley J, Tan WS, Bhella D","2018-07-13","3.3","6h2b","Structure of the Macrobrachium rosenbergii nodavirus: A new genus within the Nodaviridae?"
"0132","REL","Cryo-EM structure of the BRISC complex bound to SHMT2","Schenk AD, Julius R, Cavadini S, Thoma NH","2018-07-18","3.9","6h3c","Structural Basis of BRCC36 Function in DNA Repair and Immune Regulation."
"0133","REL","Structural snapshots of the Type 9 protein translocon","Deme JC, Lea SM","2018-07-18","3.5","6h3i","Type 9 secretion system structures reveal a new protein transport mechanism."
"0134","REL","Structural snapshots of the Type 9 protein translocon Plug-complex","Deme JC, Lea SM","2018-07-18","3.7","6h3j","Type 9 secretion system structures reveal a new protein transport mechanism."
"0136","REL","Electron cryo-microscopy of VgrG1 in the Type VI secretion VgrG1-Tse6-EF-Tu complex embedded in lipid nanodiscs","Quentin D, Raunser S","2018-07-19","3.3","6h3n","Mechanism of loading and translocation of type VI secretion system effector Tse6."
"0137","REL","Structure of a hibernating 100S ribosome reveals an inactive conformation of the ribosomal protein S1 - 70S Hibernating E. coli Ribosome","Beckert B, Turk M, Czech A, Berninghausen O, Beckmann R, Ignatova Z, Plitzko J, Wilson ND","2018-07-22","3","6h4n","Structure of a hibernating 100S ribosome reveals an inactive conformation of the ribosomal protein S1."
"0140","REL","Single Particle Cryo-EM map of human Transferrin receptor 1 - H-Ferritin complex.","Testi C, Montemiglio LC, Vallone B, Des Georges A, Boffi A, Mancia F, Baiocco P, Savino C","2018-07-24","3.9","6h5i","Cryo-EM structure of the human ferritin-transferrin receptor 1 complex."
"0144","REL","Human apo-ferritin reconstructed in RELION-3.0","Zivanov J, Nakane T, Hagen WJH, Scheres SHW","2018-07-26","1.7","","New tools for automated high-resolution cryo-EM structure determination in RELION-3."
"0146","REL","Yeast RNA polymerase I elongation complex stalled by cyclobutane pyrimidine dimer (CPD)","Sanz-Murillo M, Xu J, Gil-Carton D, Wang D, Fernandez-Tornero C","2018-07-26","3.6","6h67","Structural basis of RNA polymerase I stalling at UV light-induced DNA damage."
"0149","REL","PTC3 holotoxin complex from Photorhabdus luminecens in prepore state (TcdA1  TcdB2  TccC3)","Gatsogiannis C, Merino F, Roderer D, Balchin D, Schubert E, Kuhlee A, Hayer-Hartl M, Raunser S","2018-07-27","4","6h6e","Tc toxin activation requires unfolding and refolding of a beta-propeller."
"0150","REL","PTC3 holotoxin complex from Photorhabdus luminiscens - Mutant TcC-D651A","Gatsogiannis C, Merino F, Roderer D, Balchin D, Schubert E, Kuhlee A, Hayer-Hartl M, Raunser S","2018-07-27","3.7","6h6f","Tc toxin activation requires unfolding and refolding of a beta-propeller."
"0152","REL","RELION-3.0 reconstruction of influenza hemagglutinin (HA) trimer using particles from micrographs tilted at 40 degrees in EMPIAR-10097","Zivanov J, Nakane T, Scheres SHW","2018-07-31","3.1","","New tools for automated high-resolution cryo-EM structure determination in RELION-3."
"0153","REL","RELION-3.0 reconstruction of beta-galactosidase particles in EMPIAR-10061","Zivanov J, Nakane T, Scheres SHW","2018-07-31","1.9","","New tools for automated high-resolution cryo-EM structure determination in RELION-3."
"0172","REL","Cryo-EM structure of the archaeal extremophilic internal membrane containing Haloarcula hispanica icosahedral virus 2 (HHIV-2) at 3.78 Angstroms resolution.","Abrescia NG, Santos-Perez I, Charro D","2018-08-01","3.8","6h82","Structural basis for assembly of vertical single beta-barrel viruses."
"0173","REL","Complex of foot-and-mouth-disease virus (type O1 M) with the Fab of antibody D9. The virus is at 3.5 Ang resolution  the Fab is flexibly attached and at much lower resolution.","Shimmon G, Kotecha A, Ren J, Asfor AS, Newman J, Berryman S, Cottam EM, Gold S, Tuthill TJ, King DP, Brocchi E, King AMQ, Owens R, Fry EE, Stuart DI, Burman A, Jackson T","2018-08-02","4","","Generation and characterisation of recombinant FMDV antibodies: Applications for advancing diagnostic and laboratory assays."
"0174","REL","Cryo-EM structure of archaeal extremophilic internal membrane-containing Haloarcula californiae icosahedral virus 1 (HCIV-1) at 3.74 Angstroms resolution.","Abrescia NG, Santos-Perez I, Charro D","2018-08-03","3.7","6h9c","Structural basis for assembly of vertical single beta-barrel viruses."
"0176","REL","Cryo-EM structure of a 70S Bacillus subtilis ribosome translating the ErmD leader peptide in complex with telithromycin","Crowe-McAuliffe C, Graf M, Huter P, Abdelshahid M, Novacek J, Wilson DN","2018-08-07","3.1","6ha1","Structural basis for antibiotic resistance mediated by theBacillus subtilisABCF ATPase VmlR."
"0177","REL","Cryo-EM structure of the ABCF protein VmlR bound to the Bacillus subtilis ribosome","Crowe-McAuliffe C, Graf M, Huter P, Abdelshahid M, Novacek J, Wilson DN","2018-08-07","3.5","6ha8","Structural basis for antibiotic resistance mediated by theBacillus subtilisABCF ATPase VmlR."
"0178","REL","Cryo-EM map of the Fatty Acid Synthase from S. cerevisiae","D'Imprima E, Floris D, Sanchez R, Joppe M, Grininger M, Kuehlbrandt W","2018-08-08","4","","Protein denaturation at the air-water interface and how to prevent it."
"0180","REL","Structure of the repeat unit in the network formed by CcmM and Rubisco from Synechococcus elongatus","Wang H, Yan X, Aigner H, Bracher A, Nguyen ND, Hee WY, Long BM, Price GD, Hartl FU, Hayer-Hartl M","2018-08-10","2.8","6hbc","Rubisco condensate formation by CcmM in beta-carboxysome biogenesis."
"0181","REL","Echovirus 18 native particle","Buchta D, Fuzik T, Hrebik D, Levdansky Y, Moravcova J, Plevka P","2018-08-10","3.2","6hbg","Enterovirus particles expel capsid pentamers to enable genome release."
"0182","REL","Echovirus 18 A-particle","Buchta D, Fuzik T, Hrebik D, Levdansky Y, Moravcova J, Plevka P","2018-08-10","3.4","6hbh","Enterovirus particles expel capsid pentamers to enable genome release."
"0183","REL","Echovirus 18 empty particle","Buchta D, Fuzik T, Hrebik D, Levdansky Y, Moravcova J, Plevka P","2018-08-10","3.2","6hbj","Enterovirus particles expel capsid pentamers to enable genome release."
"0185","REL","Echovirus 18 Open particle without one pentamer","Buchta D, Fuzik T, Hrebik D, Levdansky Y, Moravcova J, Plevka P","2018-08-10","3.8","6hbk","Enterovirus particles expel capsid pentamers to enable genome release."
"0188","REL","Echovirus 18 Open particle without three pentamers","Buchta D, Fuzik T, Hrebik D, Levdansky Y, Moravcova J, Plevka P","2018-08-10","3.7","6hbl","Enterovirus particles expel capsid pentamers to enable genome release."
"0190","REL","Cryo-EM structure of the ABCG2 E211Q mutant bound to ATP and Magnesium","Manolaridis I, Jackson SM, Taylor NMI, Kowal J, Stahlberg H, Locher KP","2018-08-13","3.1","6hbu","Cryo-EM structures of a human ABCG2 mutant trapped in ATP-bound and substrate-bound states."
"0192","REL","Structure of the rabbit 80S ribosome stalled on globin mRNA at the stop codon","Juszkiewicz S, Chandrasekaran V, Lin Z, Kraatz S, Ramakrishnan V, Hegde RS","2018-08-14","3.9","6hcf","ZNF598 Is a Quality Control Sensor of Collided Ribosomes."
"0194","REL","Structure of the rabbit 80S ribosome on globin mRNA in the rotated state with A/P and P/E tRNAs","Juszkiewicz S, Chandrasekaran V, Lin Z, Kraatz S, Ramakrishnan V, Hegde RS","2018-08-15","3.8","6hcj","ZNF598 Is a Quality Control Sensor of Collided Ribosomes."
"0196","REL","Cryo-EM structure of the ABCG2 E211Q mutant bound to estrone 3-sulfate and 5D3-Fab","Manolaridis I, Jackson SM, Taylor NMI, Kowal J, Stahlberg H, Locher KP","2018-08-15","3.6","6hco","Cryo-EM structures of a human ABCG2 mutant trapped in ATP-bound and substrate-bound states."
"0198","REL","Synthetic Self-assembling ADDomer Platform for Highly Efficient Vaccination by Genetically-encoded Multi-epitope Display","Bufton JC, Berger I, Schaffitzel C, Garzoni F, Rabi FA","2018-08-16","3.5","6hcr","Synthetic self-assembling ADDomer platform for highly efficient vaccination by genetically encoded multiepitope display."
"0199","REL","human STEAP4 bound to NADP  FAD  heme and Fe(III)-NTA.","Oosterheert W, van Bezouwen LS, Rodenburg RNP, Forster F, Mattevi A, Gros P","2018-08-17","3.1","6hcy","Cryo-EM structures of human STEAP4 reveal mechanism of iron(III) reduction."
"0200","REL","human STEAP4 bound to NADPH  FAD and heme.","Oosterheert W, van Bezouwen LS, Rodenburg RNP, Forster F, Mattevi A, Gros P","2018-08-17","3.8","6hd1","Cryo-EM structures of human STEAP4 reveal mechanism of iron(III) reduction."
"0202","REL","Cryo-EM structure of the ribosome-NatA complex","Knorr AG, Becker T, Berninghausen O, Beckmann R","2018-08-17","3.4","6hd7","Ribosome-NatA architecture reveals that rRNA expansion segments coordinate N-terminal acetylation."
"0211","REL","20S proteasome from Archaeoglobus fulgidus","Majumder P, Rudack T, Beck F, Baumeister W","2018-08-20","3.7","6he7","Cryo-EM structures of the archaeal PAN-proteasome reveal an around-the-ring ATPase cycle."
"0227","REL","Mouse serotonin 5-HT3 receptor  serotonin-bound  I2 conformation","Polovinkin L, Neumann E, Schoehn G, Nury H","2018-08-30","3.2","6hiq","Conformational transitions of the serotonin 5-HT3receptor."
"0230","REL","Cryo-EM structure of the Trypanosoma brucei mitochondrial ribosome - This entry contains the complete small mitoribosomal subunit in complex with mt-IF-3","Ramrath D, Niemann M, Leibundgut M, Bieri P, Prange C, Horn EK, Leitner A, Boehringer D, Schneider A, Ban N","2018-08-31","3.4","6hiw","Evolutionary shift toward protein-based architecture in trypanosomal mitochondrial ribosomes."
"0231","REL","Cryo-EM structure of the Trypanosoma brucei mitochondrial ribosome - This entry contains the large mitoribosomal subunit","Ramrath DJF, Niemann M, Leibundgut M, Bieri P, Prange C, Horn K, Leitner A, Boehringer D, Schneider A, Ban N","2018-08-31","3.4","6hix","Evolutionary shift toward protein-based architecture in trypanosomal mitochondrial ribosomes."
"0232","REL","Cryo-EM structure of the Trypanosoma brucei mitochondrial ribosome - This entry contains the body of the small mitoribosomal subunit in complex with mt-IF-3","Ramrath DJF, Niemann M, Leibundgut M, Bieri P, Prange C, Horn EK, Leitner A, Boehringer D, Schneider A, Ban N","2018-08-31","3.3","6hiy","Evolutionary shift toward protein-based architecture in trypanosomal mitochondrial ribosomes."
"0233","REL","Cryo-EM structure of the Trypanosoma brucei mitochondrial ribosome - This entry contains the head of the small mitoribosomal subunit","Ramrath DJF, Niemann M, Leibundgut M, Bieri P, Prange C, Horn EK, Leitner A, Boehringer A, Schneider A, Ban N","2018-08-31","3.1","6hiz","Evolutionary shift toward protein-based architecture in trypanosomal mitochondrial ribosomes."
"0234","REL","Structure of Influenza Hemagglutinin ectodomain (A/duck/Alberta/35/76)","Benton DJ, Rosenthal PB","2018-09-04","3.3","6hjn","Influenza hemagglutinin membrane anchor."
"0235","REL","Structure of Influenza Hemagglutinin ectodomain (A/duck/Alberta/35/76) in complex with FISW84 Fab Fragment","Benton DJ, Rosenthal PB","2018-09-04","3.3","6hjp","Influenza hemagglutinin membrane anchor."
"0238","REL","Yeast RNA polymerase I elongation complex bound to nucleotide analog GMPCPP","Tafur L, Sadian Y, Weis F, Muller CW","2018-09-07","3.4","6hko","The cryo-EM structure of a 12-subunit variant of RNA polymerase I reveals dissociation of the A49-A34.5 heterodimer and rearrangement of subunit A12.2."
"0239","REL","Yeast RNA polymerase I* elongation complex bound to nucleotide analog GMPCPP","Tafur L, Sadian Y, Weis F, Muller CW","2018-09-11","3.2","6hlq","The cryo-EM structure of a 12-subunit variant of RNA polymerase I reveals dissociation of the A49-A34.5 heterodimer and rearrangement of subunit A12.2."
"0240","REL","Yeast RNA polymerase I elongation complex bound to nucleotide analog GMPCPP (core focused)","Tafur L, Sadian Y, Weis F, Muller CW","2018-09-11","3.2","6hlr","The cryo-EM structure of a 12-subunit variant of RNA polymerase I reveals dissociation of the A49-A34.5 heterodimer and rearrangement of subunit A12.2."
"0241","REL","Yeast apo RNA polymerase I*","Tafur L, Sadian Y, Weis F, Muller CW","2018-09-11","3.2","6hls","The cryo-EM structure of a 12-subunit variant of RNA polymerase I reveals dissociation of the A49-A34.5 heterodimer and rearrangement of subunit A12.2."
"0242","REL","Yeast RNA polymerase I elongation complex bound to nucleotide analog GMPCPP (upstream DNA focused  unsharpened map)","Tafur L, Sadian Y, Weis F, Muller CW","2018-09-11","4","","The cryo-EM structure of a 12-subunit variant of RNA polymerase I reveals dissociation of the A49-A34.5 heterodimer and rearrangement of subunit A12.2."
"0243","REL","Improved model derived from cryo-EM map of Staphylococcus aureus large ribosomal subunit","Eyal Z, Cimicata G, Matzov D, Fox T, de Val N, Zimmerman E, Bashan A, Yonath A","2018-09-12","2.7","6hma","Improved model derived from cryo-EM map of Staphylococcus aureus large ribosomal subunit"
"0247","REL","Leucine-zippered human insulin receptor ectodomain with single bound insulin - ""upper"" membrane-distal part","Weis F, Menting JG, Margetts MB, Chan SJ, Xu Y, Tennagels N, Wohlfart P, Langer T, Mueller CW, Dreyer MK, Lawrence MC","2018-09-14","3.2","6hn5","The signalling conformation of the insulin receptor ectodomain."
"0257","REL","Cryo-EM structure of the KdpFABC complex in an E1 outward-facing state (state 1)","Stock C, Hielkema L, Tascon I, Wunnicke D, Oostergetel GT, Azkargorta M, Paulino C, Haenelt I","2018-09-26","3.7","6hra","Cryo-EM structures of KdpFABC suggest a K+transport mechanism via two inter-subunit half-channels."
"0258","REL","Cryo-EM structure of the KdpFABC complex in an E2 inward-facing state (state 2)","Stock C, Hielkema L, Tascon I, Wunnicke D, Oostergetel GT, Azkargorta M, Paulino C, Haenelt I","2018-09-26","4","6hrb","Cryo-EM structures of KdpFABC suggest a K+transport mechanism via two inter-subunit half-channels."
"0261","REL","E. coli 70S d2d8 stapled ribosome","Schmied WH, Tnimov Z, Uttamapinant C, Rae CD, Fried SD, Chin JW","2018-09-27","3","6hrm","Controlling orthogonal ribosome subunit interactions enables evolution of new function."
"0262","REL","III2-IV2 mitochondrial respiratory supercomplex from S. cerevisiae","Hartley AM, Lukoyanova N, Pinotsis N, Marechal A","2018-09-27","3.3","6hu9","Structure of yeast cytochrome c oxidase in a supercomplex with cytochrome bc1."
"0263","REL","Horse spleen apo-ferritin with beam tilt correction in RELION-3.0","Zivanov J, Nakane T, Hagen WJH, Scheres SHW","2018-09-28","2.2","","New tools for automated high-resolution cryo-EM structure determination in RELION-3."
"0268","REL","Complex IV in the III2-IV2 mitochondrial respiratory supercomplex from S. cerevisiae (CIVb)","Hartley AM, Lukoyanova N, Pinotsis N, Marechal A","2018-10-03","3.4","","Structure of yeast cytochrome c oxidase in a supercomplex with cytochrome bc1."
"0269","REL","Complex IV in the III2-IV2 mitochondrial respiratory supercomplex from S. cerevisiae (CIVa)","Hartley AM, Lukoyanova N, Pinotsis N, Marechal A","2018-10-03","3.3","","The III2-IV2 respiratory supercomplex from yeast"
